folder,count,lpips_mean
agricultural,100,0.4688886146247387
airplane,100,0.35973125234246256
baseballdiamond,100,0.3509261193871498
beach,100,0.340045773088932
buildings,100,0.35515067130327227
chaparral,100,0.49925017207860944
denseresidential,100,0.3824038928747177
forest,100,0.454032184779644
freeway,100,0.3481749811768532
golfcourse,100,0.378023991137743
harbor,100,0.3232738803327084
intersection,100,0.35876973167061804
mediumresidential,100,0.4208515501022339
mobilehomepark,100,0.41424486398696897
overpass,100,0.36635335549712184
parkinglot,100,0.39124990582466124
river,100,0.4208586981892586
runway,100,0.3758061330020428
sparseresidential,100,0.4149991729855537
storagetanks,100,0.3640060020983219
tenniscourt,100,0.3733592008054256
