folder,count,lpips_mean
agricultural,100,0.46900888964533805
airplane,100,0.34656634330749514
baseballdiamond,100,0.3490341183543205
beach,100,0.3424672093987465
buildings,100,0.3544506484270096
chaparral,100,0.4952220156788826
denseresidential,100,0.36331523180007935
forest,100,0.4237940001487732
freeway,100,0.3770712834596634
golfcourse,100,0.36051431953907015
harbor,100,0.3458108022809029
intersection,100,0.3720360642671585
mediumresidential,100,0.3902630072832107
mobilehomepark,100,0.39042517095804213
overpass,100,0.36357818126678465
parkinglot,100,0.4350004914402962
river,100,0.39044188141822816
runway,100,0.3664695262908936
sparseresidential,100,0.39289013504981996
storagetanks,100,0.35206705808639527
tenniscourt,100,0.371401244699955
