folder,ssim_count,ssim_mean,psnr_count,psnr_mean
agricultural,100,0.43232848212583974,100,25.150169662521904
airplane,100,0.717022061132178,100,25.18251325229717
baseballdiamond,100,0.7752716661602856,100,30.22032689177568
beach,100,0.8400560832884634,100,33.15011749072656
buildings,100,0.6965435261906111,100,23.041485100694715
chaparral,100,0.6434404193730235,100,24.04838229994311
denseresidential,100,0.6986384968995619,100,23.32131394010854
forest,100,0.6006768543226139,100,26.245542993894027
freeway,100,0.6968490947507364,100,25.841182233873724
golfcourse,100,0.7676604297370733,100,30.646615022172742
harbor,100,0.7101836208285184,100,20.641132226974655
intersection,100,0.7113350149944183,100,24.696705755269004
mediumresidential,100,0.6535516466401726,100,23.45610769496162
mobilehomepark,100,0.663128356645803,100,21.83599014481888
overpass,100,0.6439691158545567,100,23.761586957351255
parkinglot,100,0.6484419093750219,100,20.081842332927614
river,100,0.652680871952906,100,26.41726542100428
runway,100,0.7171917117622166,100,26.55212368650983
sparseresidential,100,0.6714698461332135,100,26.17640090045929
storagetanks,100,0.7129311189992069,100,25.27928628707052
tenniscourt,100,0.7208392170528637,100,26.370633842674778
