folder,filename,ssim,psnr,gt_path,sr_path
agricultural,agricultural00.png,0.2386762255055591,22.943720714243195,E:\Text\AI4EOFINAL\UCMerced_HR_Truth\agricultural\agricultural00.png,E:\Text\AI4EOFINAL\UCMerced_HR_SwinIR\agricultural\agricultural00_SwinIR.png
agricultural,agricultural01.png,0.23497817963016046,23.23331530750928,E:\Text\AI4EOFINAL\UCMerced_HR_Truth\agricultural\agricultural01.png,E:\Text\AI4EOFINAL\UCMerced_HR_SwinIR\agricultural\agricultural01_SwinIR.png
agricultural,agricultural02.png,0.2606877762429772,22.761056563641738,E:\Text\AI4EOFINAL\UCMerced_HR_Truth\agricultural\agricultural02.png,E:\Text\AI4EOFINAL\UCMerced_HR_SwinIR\agricultural\agricultural02_SwinIR.png
agricultural,agricultural03.png,0.2070695412858284,23.29223070055539,E:\Text\AI4EOFINAL\UCMerced_HR_Truth\agricultural\agricultural03.png,E:\Text\AI4EOFINAL\UCMerced_HR_SwinIR\agricultural\agricultural03_SwinIR.png
agricultural,agricultural04.png,0.6456671685247081,23.483343463545854,E:\Text\AI4EOFINAL\UCMerced_HR_Truth\agricultural\agricultural04.png,E:\Text\AI4EOFINAL\UCMerced_HR_SwinIR\agricultural\agricultural04_SwinIR.png
agricultural,agricultural05.png,0.09666592988885188,18.588730387495417,E:\Text\AI4EOFINAL\UCMerced_HR_Truth\agricultural\agricultural05.png,E:\Text\AI4EOFINAL\UCMerced_HR_SwinIR\agricultural\agricultural05_SwinIR.png
agricultural,agricultural06.png,0.09472681462071231,19.33220689394563,E:\Text\AI4EOFINAL\UCMerced_HR_Truth\agricultural\agricultural06.png,E:\Text\AI4EOFINAL\UCMerced_HR_SwinIR\agricultural\agricultural06_SwinIR.png
agricultural,agricultural07.png,0.06982156715612685,18.661330866481027,E:\Text\AI4EOFINAL\UCMerced_HR_Truth\agricultural\agricultural07.png,E:\Text\AI4EOFINAL\UCMerced_HR_SwinIR\agricultural\agricultural07_SwinIR.png
agricultural,agricultural08.png,0.06450535005242962,17.661281516426577,E:\Text\AI4EOFINAL\UCMerced_HR_Truth\agricultural\agricultural08.png,E:\Text\AI4EOFINAL\UCMerced_HR_SwinIR\agricultural\agricultural08_SwinIR.png
agricultural,agricultural09.png,0.0509368611635946,16.37707959930961,E:\Text\AI4EOFINAL\UCMerced_HR_Truth\agricultural\agricultural09.png,E:\Text\AI4EOFINAL\UCMerced_HR_SwinIR\agricultural\agricultural09_SwinIR.png
agricultural,agricultural10.png,0.6142474087116147,20.099030331582604,E:\Text\AI4EOFINAL\UCMerced_HR_Truth\agricultural\agricultural10.png,E:\Text\AI4EOFINAL\UCMerced_HR_SwinIR\agricultural\agricultural10_SwinIR.png
agricultural,agricultural11.png,0.488043828519197,28.500525919913905,E:\Text\AI4EOFINAL\UCMerced_HR_Truth\agricultural\agricultural11.png,E:\Text\AI4EOFINAL\UCMerced_HR_SwinIR\agricultural\agricultural11_SwinIR.png
agricultural,agricultural12.png,0.630891833617556,21.188756726891462,E:\Text\AI4EOFINAL\UCMerced_HR_Truth\agricultural\agricultural12.png,E:\Text\AI4EOFINAL\UCMerced_HR_SwinIR\agricultural\agricultural12_SwinIR.png
agricultural,agricultural13.png,0.09931133245737178,20.47316354949605,E:\Text\AI4EOFINAL\UCMerced_HR_Truth\agricultural\agricultural13.png,E:\Text\AI4EOFINAL\UCMerced_HR_SwinIR\agricultural\agricultural13_SwinIR.png
agricultural,agricultural14.png,0.06797509133140496,17.83694452700156,E:\Text\AI4EOFINAL\UCMerced_HR_Truth\agricultural\agricultural14.png,E:\Text\AI4EOFINAL\UCMerced_HR_SwinIR\agricultural\agricultural14_SwinIR.png
agricultural,agricultural15.png,0.07135162873966955,16.793031363493768,E:\Text\AI4EOFINAL\UCMerced_HR_Truth\agricultural\agricultural15.png,E:\Text\AI4EOFINAL\UCMerced_HR_SwinIR\agricultural\agricultural15_SwinIR.png
agricultural,agricultural16.png,0.43438386643759136,21.37042765644173,E:\Text\AI4EOFINAL\UCMerced_HR_Truth\agricultural\agricultural16.png,E:\Text\AI4EOFINAL\UCMerced_HR_SwinIR\agricultural\agricultural16_SwinIR.png
agricultural,agricultural17.png,0.20622070670262138,22.507837261069653,E:\Text\AI4EOFINAL\UCMerced_HR_Truth\agricultural\agricultural17.png,E:\Text\AI4EOFINAL\UCMerced_HR_SwinIR\agricultural\agricultural17_SwinIR.png
agricultural,agricultural18.png,0.12900164612409748,20.217981930492353,E:\Text\AI4EOFINAL\UCMerced_HR_Truth\agricultural\agricultural18.png,E:\Text\AI4EOFINAL\UCMerced_HR_SwinIR\agricultural\agricultural18_SwinIR.png
agricultural,agricultural19.png,0.5537095244459427,19.09743791340347,E:\Text\AI4EOFINAL\UCMerced_HR_Truth\agricultural\agricultural19.png,E:\Text\AI4EOFINAL\UCMerced_HR_SwinIR\agricultural\agricultural19_SwinIR.png
agricultural,agricultural20.png,0.1536451712366799,19.752620294033893,E:\Text\AI4EOFINAL\UCMerced_HR_Truth\agricultural\agricultural20.png,E:\Text\AI4EOFINAL\UCMerced_HR_SwinIR\agricultural\agricultural20_SwinIR.png
agricultural,agricultural21.png,0.5101894781037056,18.788953705610936,E:\Text\AI4EOFINAL\UCMerced_HR_Truth\agricultural\agricultural21.png,E:\Text\AI4EOFINAL\UCMerced_HR_SwinIR\agricultural\agricultural21_SwinIR.png
agricultural,agricultural22.png,0.49860832383702275,17.91637467957023,E:\Text\AI4EOFINAL\UCMerced_HR_Truth\agricultural\agricultural22.png,E:\Text\AI4EOFINAL\UCMerced_HR_SwinIR\agricultural\agricultural22_SwinIR.png
agricultural,agricultural23.png,0.3994280790889512,17.70974760798689,E:\Text\AI4EOFINAL\UCMerced_HR_Truth\agricultural\agricultural23.png,E:\Text\AI4EOFINAL\UCMerced_HR_SwinIR\agricultural\agricultural23_SwinIR.png
agricultural,agricultural24.png,0.15443853579987413,19.841789545249487,E:\Text\AI4EOFINAL\UCMerced_HR_Truth\agricultural\agricultural24.png,E:\Text\AI4EOFINAL\UCMerced_HR_SwinIR\agricultural\agricultural24_SwinIR.png
agricultural,agricultural25.png,0.19494755268144093,19.179947435869302,E:\Text\AI4EOFINAL\UCMerced_HR_Truth\agricultural\agricultural25.png,E:\Text\AI4EOFINAL\UCMerced_HR_SwinIR\agricultural\agricultural25_SwinIR.png
agricultural,agricultural26.png,0.46004776855273,17.445982100946416,E:\Text\AI4EOFINAL\UCMerced_HR_Truth\agricultural\agricultural26.png,E:\Text\AI4EOFINAL\UCMerced_HR_SwinIR\agricultural\agricultural26_SwinIR.png
agricultural,agricultural27.png,0.2127698731236319,22.549903116035427,E:\Text\AI4EOFINAL\UCMerced_HR_Truth\agricultural\agricultural27.png,E:\Text\AI4EOFINAL\UCMerced_HR_SwinIR\agricultural\agricultural27_SwinIR.png
agricultural,agricultural28.png,0.2003790979908607,23.01594259854226,E:\Text\AI4EOFINAL\UCMerced_HR_Truth\agricultural\agricultural28.png,E:\Text\AI4EOFINAL\UCMerced_HR_SwinIR\agricultural\agricultural28_SwinIR.png
agricultural,agricultural29.png,0.1865699149015577,21.940129860143507,E:\Text\AI4EOFINAL\UCMerced_HR_Truth\agricultural\agricultural29.png,E:\Text\AI4EOFINAL\UCMerced_HR_SwinIR\agricultural\agricultural29_SwinIR.png
agricultural,agricultural30.png,0.33908995308644413,22.085139353691186,E:\Text\AI4EOFINAL\UCMerced_HR_Truth\agricultural\agricultural30.png,E:\Text\AI4EOFINAL\UCMerced_HR_SwinIR\agricultural\agricultural30_SwinIR.png
agricultural,agricultural31.png,0.39318119500172277,20.9036567743891,E:\Text\AI4EOFINAL\UCMerced_HR_Truth\agricultural\agricultural31.png,E:\Text\AI4EOFINAL\UCMerced_HR_SwinIR\agricultural\agricultural31_SwinIR.png
agricultural,agricultural32.png,0.3306833088983179,26.52530496008147,E:\Text\AI4EOFINAL\UCMerced_HR_Truth\agricultural\agricultural32.png,E:\Text\AI4EOFINAL\UCMerced_HR_SwinIR\agricultural\agricultural32_SwinIR.png
agricultural,agricultural33.png,0.3712578507038955,27.156555469008403,E:\Text\AI4EOFINAL\UCMerced_HR_Truth\agricultural\agricultural33.png,E:\Text\AI4EOFINAL\UCMerced_HR_SwinIR\agricultural\agricultural33_SwinIR.png
agricultural,agricultural34.png,0.237989705668514,21.661553993300483,E:\Text\AI4EOFINAL\UCMerced_HR_Truth\agricultural\agricultural34.png,E:\Text\AI4EOFINAL\UCMerced_HR_SwinIR\agricultural\agricultural34_SwinIR.png
agricultural,agricultural35.png,0.30784367281219177,24.264709625607406,E:\Text\AI4EOFINAL\UCMerced_HR_Truth\agricultural\agricultural35.png,E:\Text\AI4EOFINAL\UCMerced_HR_SwinIR\agricultural\agricultural35_SwinIR.png
agricultural,agricultural36.png,0.32414113428394425,23.284938455737883,E:\Text\AI4EOFINAL\UCMerced_HR_Truth\agricultural\agricultural36.png,E:\Text\AI4EOFINAL\UCMerced_HR_SwinIR\agricultural\agricultural36_SwinIR.png
agricultural,agricultural37.png,0.719644773301924,30.180556015336247,E:\Text\AI4EOFINAL\UCMerced_HR_Truth\agricultural\agricultural37.png,E:\Text\AI4EOFINAL\UCMerced_HR_SwinIR\agricultural\agricultural37_SwinIR.png
agricultural,agricultural38.png,0.7334524618860986,31.201345839160158,E:\Text\AI4EOFINAL\UCMerced_HR_Truth\agricultural\agricultural38.png,E:\Text\AI4EOFINAL\UCMerced_HR_SwinIR\agricultural\agricultural38_SwinIR.png
agricultural,agricultural39.png,0.4001343538898801,27.155091955283474,E:\Text\AI4EOFINAL\UCMerced_HR_Truth\agricultural\agricultural39.png,E:\Text\AI4EOFINAL\UCMerced_HR_SwinIR\agricultural\agricultural39_SwinIR.png
agricultural,agricultural40.png,0.5992430509740915,31.37435983392214,E:\Text\AI4EOFINAL\UCMerced_HR_Truth\agricultural\agricultural40.png,E:\Text\AI4EOFINAL\UCMerced_HR_SwinIR\agricultural\agricultural40_SwinIR.png
agricultural,agricultural41.png,0.5434516975464786,27.258990221968944,E:\Text\AI4EOFINAL\UCMerced_HR_Truth\agricultural\agricultural41.png,E:\Text\AI4EOFINAL\UCMerced_HR_SwinIR\agricultural\agricultural41_SwinIR.png
agricultural,agricultural42.png,0.6548618607649679,21.947448622656893,E:\Text\AI4EOFINAL\UCMerced_HR_Truth\agricultural\agricultural42.png,E:\Text\AI4EOFINAL\UCMerced_HR_SwinIR\agricultural\agricultural42_SwinIR.png
agricultural,agricultural43.png,0.4486843565292651,26.754381143777778,E:\Text\AI4EOFINAL\UCMerced_HR_Truth\agricultural\agricultural43.png,E:\Text\AI4EOFINAL\UCMerced_HR_SwinIR\agricultural\agricultural43_SwinIR.png
